year,region,round,team_a,team_b,team_a_seed,team_b_seed,winner
2016,West,First,oregon-state,virginia-commonwealth,7,10,virginia-commonwealth
2016,West,First,oklahoma,cal-state-bakersfield,2,15,oklahoma
2016,West,Second,oregon,saint-josephs,1,8,oregon
2016,West,Second,yale,duke,12,4,duke
2016,West,Second,northern-iowa,texas-am,11,3,texas-am
2016,West,Second,virginia-commonwealth,oklahoma,10,2,oklahoma
2016,West,Sweet 16,oregon,duke,1,4,oregon
2016,West,Sweet 16,texas-am,oklahoma,3,2,oklahoma
2016,West,Elite 8,oregon,oklahoma,1,2,oklahoma
2016,National,Final 4,villanova,oklahoma,2,2,villanova
2016,National,Final 4,syracuse,north-carolina,10,1,north-carolina
2016,National,National Championship,villanova,north-carolina,2,1,villanova
2017,East,First,villanova,mount-st-marys,1,16,villanova
2017,East,First,wisconsin,virginia-tech,8,9,wisconsin
2017,East,First,virginia,north-carolina-wilmington,5,12,virginia
2017,East,First,florida,east-tennessee-state,4,13,florida
2017,East,First,southern-methodist,southern-california,6,11,southern-california
2017,East,First,baylor,new-mexico-state,3,14,baylor
2017,East,First,south-carolina,marquette,7,10,south-carolina
2017,East,First,duke,troy,2,15,duke
2017,East,Second,villanova,wisconsin,1,8,wisconsin
2017,East,Second,virginia,florida,5,4,florida
2017,East,Second,southern-california,baylor,11,3,baylor
2017,East,Second,south-carolina,duke,7,2,south-carolina
2017,East,Sweet 16,wisconsin,florida,8,4,florida
2017,East,Sweet 16,baylor,south-carolina,3,7,south-carolina
2017,East,Elite 8,florida,south-carolina,4,7,south-carolina
2017,Midwest,First,kansas,california-davis,1,16,kansas
2017,Midwest,First,miami-fl,michigan-state,8,9,michigan-state
2017,Midwest,First,iowa-state,nevada,5,12,iowa-state
2017,Midwest,First,purdue,vermont,4,13,purdue
2017,Midwest,First,creighton,rhode-island,6,11,rhode-island
2017,Midwest,First,oregon,iona,3,14,oregon
2017,Midwest,First,michigan,oklahoma-state,7,10,michigan
2017,Midwest,First,louisville,jacksonville-state,2,15,louisville
2017,Midwest,Second,kansas,michigan-state,1,9,kansas
2017,Midwest,Second,iowa-state,purdue,5,4,purdue
2017,Midwest,Second,rhode-island,oregon,11,3,oregon
2017,Midwest,Second,michigan,louisville,7,2,michigan
2017,Midwest,Sweet 16,kansas,purdue,1,4,kansas
2017,Midwest,Sweet 16,oregon,michigan,3,7,oregon
2017,Midwest,Elite 8,kansas,oregon,1,3,oregon
2017,South,First,north-carolina,texas-southern,1,16,north-carolina
2017,South,First,arkansas,seton-hall,8,9,arkansas
2017,South,First,minnesota,middle-tennessee,5,12,middle-tennessee
2017,South,First,butler,winthrop,4,13,butler
2017,South,First,cincinnati,kansas-state,6,11,cincinnati
2017,South,First,ucla,kent-state,3,14,ucla
2017,South,First,dayton,wichita-state,7,10,wichita-state
2017,South,First,kentucky,northern-kentucky,2,15,kentucky
2017,South,Second,north-carolina,arkansas,1,8,north-carolina
2017,South,Second,middle-tennessee,butler,12,4,butler
2017,South,Second,cincinnati,ucla,6,3,ucla
2017,South,Second,wichita-state,kentucky,10,2,kentucky
2017,South,Sweet 16,north-carolina,butler,1,4,north-carolina
2017,South,Sweet 16,ucla,kentucky,3,2,kentucky
2017,South,Elite 8,north-carolina,kentucky,1,2,north-carolina
2017,West,First,gonzaga,south-dakota-state,1,16,gonzaga
2017,West,First,northwestern,vanderbilt,8,9,northwestern
2017,West,First,notre-dame,princeton,5,12,notre-dame
2017,West,First,west-virginia,bucknell,4,13,west-virginia
2017,West,First,maryland,xavier,6,11,xavier
2017,West,First,florida-state,florida-gulf-coast,3,14,florida-state
2017,West,First,saint-marys-ca,virginia-commonwealth,7,10,saint-marys-ca
2017,West,First,arizona,north-dakota,2,15,arizona
2017,West,Second,gonzaga,northwestern,1,8,gonzaga
2017,West,Second,notre-dame,west-virginia,5,4,west-virginia
2017,West,Second,xavier,florida-state,11,3,xavier
2017,West,Second,saint-marys-ca,arizona,7,2,arizona
2017,West,Sweet 16,gonzaga,west-virginia,1,4,gonzaga
2017,West,Sweet 16,xavier,arizona,11,2,xavier
2017,West,Elite 8,gonzaga,xavier,1,11,gonzaga
2017,National,Final 4,oregon,north-carolina,3,1,north-carolina
2017,National,Final 4,south-carolina,gonzaga,7,1,gonzaga
2017,National,National Championship,north-carolina,gonzaga,1,1,north-carolina
2018,East,First,villanova,radford,1,16,villanova
2018,East,First,virginia-tech,alabama,8,9,alabama
2018,East,First,west-virginia,murray-state,5,12,west-virginia
2018,East,First,wichita-state,marshall,4,13,marshall
2018,East,First,florida,st-bonaventure,6,11,florida
2018,East,First,texas-tech,stephen-f-austin,3,14,texas-tech
2018,East,First,arkansas,butler,7,10,butler
2018,East,First,purdue,cal-state-fullerton,2,15,purdue
2018,East,Second,villanova,alabama,1,9,villanova
2018,East,Second,west-virginia,marshall,5,13,west-virginia
2018,East,Second,florida,texas-tech,6,3,texas-tech
2018,East,Second,butler,purdue,10,2,purdue
2018,East,Sweet 16,villanova,west-virginia,1,5,villanova
2018,East,Sweet 16,texas-tech,purdue,3,2,texas-tech
2018,East,Elite 8,villanova,texas-tech,1,3,villanova
2018,Midwest,First,kansas,pennsylvania,1,16,kansas
2018,Midwest,First,seton-hall,north-carolina-state,8,9,seton-hall
2018,Midwest,First,clemson,new-mexico-state,5,12,clemson
2018,Midwest,First,auburn,college-of-charleston,4,13,auburn
2018,Midwest,First,texas-christian,syracuse,6,11,syracuse
2018,Midwest,First,michigan-state,bucknell,3,14,michigan-state
2018,Midwest,First,rhode-island,oklahoma,7,10,rhode-island
2018,Midwest,First,duke,iona,2,15,duke
2018,Midwest,Second,kansas,seton-hall,1,8,kansas
2018,Midwest,Second,clemson,auburn,5,4,clemson
2018,Midwest,Second,syracuse,michigan-state,11,3,syracuse
2018,Midwest,Second,rhode-island,duke,7,2,duke
2018,Midwest,Sweet 16,kansas,clemson,1,5,kansas
2018,Midwest,Sweet 16,syracuse,duke,11,2,duke
2018,Midwest,Elite 8,kansas,duke,1,2,kansas
2018,South,First,virginia,maryland-baltimore-county,1,16,maryland-baltimore-county
2018,South,First,creighton,kansas-state,8,9,kansas-state
2018,South,First,kentucky,davidson,5,12,kentucky
2018,South,First,arizona,buffalo,4,13,buffalo
2018,South,First,miami-fl,loyola-il,6,11,loyola-il
2018,South,First,tennessee,wright-state,3,14,tennessee
2018,South,First,nevada,texas,7,10,nevada
2018,South,First,cincinnati,georgia-state,2,15,cincinnati
2018,South,Second,maryland-baltimore-county,kansas-state,16,9,kansas-state
2018,South,Second,kentucky,buffalo,5,13,kentucky
2018,South,Second,loyola-il,tennessee,11,3,loyola-il
2018,South,Second,nevada,cincinnati,7,2,nevada
2018,South,Sweet 16,kansas-state,kentucky,9,5,kansas-state
2018,South,Sweet 16,loyola-il,nevada,11,7,loyola-il
2018,South,Elite 8,kansas-state,loyola-il,9,11,loyola-il
2018,West,First,xavier,texas-southern,1,16,xavier
2018,West,First,missouri,florida-state,8,9,florida-state
2018,West,First,ohio-state,south-dakota-state,5,12,ohio-state
2018,West,First,gonzaga,north-carolina-greensboro,4,13,gonzaga
2018,West,First,houston,san-diego-state,6,11,houston
2018,West,First,michigan,montana,3,14,michigan
2018,West,First,texas-am,providence,7,10,texas-am
2018,West,First,north-carolina,lipscomb,2,15,north-carolina
2018,West,Second,xavier,florida-state,1,9,florida-state
2018,West,Second,ohio-state,gonzaga,5,4,gonzaga
2018,West,Second,houston,michigan,6,3,michigan
2018,West,Second,texas-am,north-carolina,7,2,texas-am
2018,West,Sweet 16,florida-state,gonzaga,9,4,florida-state
2018,West,Sweet 16,michigan,texas-am,3,7,michigan
2018,West,Elite 8,florida-state,michigan,9,3,michigan
2018,National,Final 4,villanova,kansas,1,1,villanova
2018,National,Final 4,loyola-il,michigan,11,3,michigan
2018,National,National Championship,villanova,michigan,1,3,villanova
2019,East,First,duke,north-dakota-state,1,16,duke
2019,East,First,virginia-commonwealth,central-florida,8,9,central-florida
2019,East,First,mississippi-state,liberty,5,12,liberty
2019,East,First,virginia-tech,saint-louis,4,13,virginia-tech
2019,East,First,maryland,belmont,6,11,maryland
2019,East,First,louisiana-state,yale,3,14,louisiana-state
2019,East,First,louisville,minnesota,7,10,minnesota
2019,East,First,michigan-state,bradley,2,15,michigan-state
2019,East,Second,duke,central-florida,1,9,duke
2019,East,Second,liberty,virginia-tech,12,4,virginia-tech
2019,East,Second,maryland,louisiana-state,6,3,louisiana-state
2019,East,Second,minnesota,michigan-state,10,2,michigan-state
2019,East,Sweet 16,duke,virginia-tech,1,4,duke
2019,East,Sweet 16,louisiana-state,michigan-state,3,2,michigan-state
2019,East,Elite 8,duke,michigan-state,1,2,michigan-state
2019,Midwest,First,north-carolina,iona,1,16,north-carolina
2019,Midwest,First,utah-state,washington,8,9,washington
2019,Midwest,First,auburn,new-mexico-state,5,12,auburn
2019,Midwest,First,kansas,northeastern,4,13,kansas
2019,Midwest,First,iowa-state,ohio-state,6,11,ohio-state
2019,Midwest,First,houston,georgia-state,3,14,houston
2019,Midwest,First,wofford,seton-hall,7,10,wofford
2019,Midwest,First,kentucky,abilene-christian,2,15,kentucky
2019,Midwest,Second,north-carolina,washington,1,9,north-carolina
2019,Midwest,Second,auburn,kansas,5,4,auburn
2019,Midwest,Second,ohio-state,houston,11,3,houston
2019,Midwest,Second,wofford,kentucky,7,2,kentucky
